product_slug,product_name,current_categories,suggested_top_level,final_top_level_slug
parlak-dantel-transparan-vucut-corabi-mini-etek-konsepti,Parlak Dantel Transparan Vücut Çorabı Mini Etek Konsepti,"fantezi-giyim, sex-oyuncaklari",none,
parmaga-takilabilir-klitoris-ve-g-spot-uyarici-2-in-1-vibrator,Parmağa Takılabilir Klitoris ve G-Spot Uyarıcı 2 in 1 Vibratör,"fetis-fantezi, kadinlara-ozel",kadin,
passion-cup-kutulu-realistik-vajina-masturbator,Passion Cup Kutulu Realistik Vajina Mastürbatör,"erkeklere-ozel, suni-vajina-masturbatorler",erkek,
penextender-xl-pump-penis-pompasi,PENEXTENDER® XL PUMP PENIS POMPASI,"erkeklere-ozel, penis-pompalari",erkek,
penis-sleeve-uzatmali-seffaf-silikon-penis-kilifi,Penis Sleeve Uzatmalı Şeffaf Silikon Penis Kılıfı,"halka-kiliflar, sex-oyuncaklari",none,
potioon-kadin-damla,Potioon Kadın Damla,"bayan-istek-arttiricilar, kadinlara-ozel",kadin,
pozisyon-zari-beyaz,Pozisyon Zarı Beyaz,"fetis-fantezi, kadinlara-ozel",kadin,
pozizyon-zari-siyah,Pozizyon Zarı Siyah,"fetis-fantezi, sex-oyuncaklari",none,
realistik-ten-penis-vibrator-et-doku-cift-katmanli,REALİSTİK TEN PENİS VİBRATÖR Et Doku Çift Katmanlı,"realistik-vibratorler, sex-oyuncaklari",cift,
real-pussy-gercekci-ten-dokusunda-vajina-masturbator,REAL PUSSY Gerçekçi Ten Dokusunda Vajina Mastürbatör,"erkeklere-ozel, suni-vajina-masturbatorler",erkek,
renkli-teknolojik-vibrator,Renkli Teknolojik Vibratör,"realistik-vibratorler, sex-oyuncaklari",none,
samuels-penis-strap-on,SAMUEL'S PENİS STRAP-ON,"belden-baglamalilar, sex-oyuncaklari",none,
seffaf-silikon-anal-vibrator,Şeffaf Silikon Anal Vibratör,anal-oyuncaklar,none,
seffaf-silikon-anal-vibrator-siyah,Şeffaf Silikon Anal Vibratör Siyah,anal-oyuncaklar,none,
seffaf-silikon-penis-kilifi-tirtikli,Şeffaf Silikon Penis Kılıfı Tırtıklı,"erkeklere-ozel, halka-kiliflar",erkek,
seksi-liseli-kiz-kostumu-corap-hediyeli,Seksi Liseli Kız Kostümü+ ÇORAP HEDİYELİ -,"fantezi-giyim, sex-oyuncaklari",none,
sfliege-kadin-damla,Sfliege Kadın Damla,"bayan-istek-arttiricilar, kadinlara-ozel",kadin,
silikonlu-anal-tikac-plug-185cm,SİLİKONLU ANAL TIKAÇ PLUG 18.5CM,"anal-oyuncaklar, sex-oyuncaklari",none,
silky-kiss-aloe-vera-ozlu-prezervatif,Silky Kiss Aloe Vera Özlü Prezervatif,"kozmetik, prezervatifler",none,
silky-kiss-cilek-aromali-prezervatif,Silky Kiss Çilek Aromalı Prezervatif,"kozmetik, prezervatifler",none,
silky-kiss-klasik-prezervatif,Silky Kiss Klasik Prezervatif,"kozmetik, prezervatifler",none,
silky-kiss-love-ekstra-ince-prezervatif,Silky Kiss Love Ekstra İnce Prezervatif,"kozmetik, prezervatifler",none,
silky-kiss-maximum-tirtikli-ve-benekli-prezervatif,Silky Kiss Maximum Tırtıklı ve Benekli Prezervatif,"kozmetik, prezervatifler",none,
silky-kiss-uzun-geceler-prezervatif,Silky Kiss Uzun Geceler Prezervatif,"kozmetik, prezervatifler",none,
silvia-evo-skeleton-tam-realistik-manken-138-cm,Silvia EVO-Skeleton Tam Realistik Manken 138 CM,realistik-mankenler,none,
siyah-dantelli-fantezi-tulum-tum-boy,Siyah Dantelli Fantezi Tulum Tüm Boy,"fantezi-giyim, kadinlara-ozel",kadin,
siyah-deri-el-ayak-kelepcesi-metal-zincir-baglantili,Siyah Deri El Ayak Kelepçesi Metal Zincir Bağlantılı,"fetis-fantezi, sex-oyuncaklari",none,
siyah-et-doku-penis-vibrator,Siyah Et Doku Penis Vibratör,"et-dokulu-urunler, sex-oyuncaklari",none,
siyah-kirmizi-fantezi-kelepce-kirbac-seti-7li,Siyah Kırmızı Fantezi Kelepçe Kırbaç Seti 7'Li,"fetis-fantezi, kadinlara-ozel",kadin,
siyah-penis-kilidi,Siyah Penis Kilidi,"erkeklere-ozel, halka-kiliflar",erkek,
sophia-full-realistik-sex-doll,Sophia Full Realistik Sex Doll,realistik-mankenler,none,
stag-9000-geciktirici-sprey,Stag 9000 Geciktirici Sprey,geciktiriciler,none,
strapon-ici-bos-belden-baglamali-penis-vibrator,STRAPON İÇİ BOŞ Belden Bağlamalı Penis Vibratör,"belden-baglamalilar, sex-oyuncaklari",none,
tasinabilir-manuel-anal-masturbator-snail-cup,Taşınabilir Manuel Anal Mastürbatör Snail Cup,"sex-oyuncaklari, suni-vajina-masturbatorler",none,
tavsan-maskeli-ve-fantezi-full-body-seti,TAVŞAN MASKELİ VE FANTEZİ FULL BODY SETİ,"fetis-fantezi, sex-oyuncaklari",none,
telefon-kontrollu-hareketli-gercekci-dildo-vibrator,Telefon Kontrollü Hareketli Gerçekçi Dildo Vibratör,"et-dokulu-urunler, sex-oyuncaklari",none,
telefon-kontrollu-sarjli-g-nokta-ve-klitoris-uyarici-giyilebilir-mini-vibrator,Telefon Kontrollü Şarjlı G Nokta ve Klitoris Uyarıcı Giyilebilir Mini Vibratör,"modern-vibratorler, sex-oyuncaklari",none,
testissiz-realistik-siyah-anal-penis,Testissiz Realistik Siyah Anal Penis,"realistik-dildolar, sex-oyuncaklari",none,
titan-gold-gel-penis-bakim-kremi-50ml,Titan Gold Gel Penis Bakım Kremi 50ML,"erkeklere-ozel, penis-pompalari",erkek,
titresimli-dildo-vibrator-penis,Titreşimli Dildo Vibratör Penis,"realistik-vibratorler, sex-oyuncaklari",none,
titresimli-ve-rotasyonlu-realistik-vibrator,Titreşimli ve Rotasyonlu Realistik Vibratör,"realistik-vibratorler, sex-oyuncaklari",none,
titresimli-yumusak-dokulu-tirtikli-jel-vibrator-penis-kirmizi,Titreşimli Yumuşak Dokulu Tırtıklı Jel Vibratör Penis - Kırmızı,"modern-vibratorler, sex-oyuncaklari",none,
titresimli-yumusak-dokulu-tirtikli-jel-vibrator-penis-mor,Titreşimli Yumuşak Dokulu Tırtıklı Jel Vibratör Penis - Mor,"modern-vibratorler, sex-oyuncaklari",none,
uclu-penis-halkasi-seti,Üçlü Penis Halkası Seti,"erkeklere-ozel, halka-kiliflar",erkek,
ultra-gercekci-otomatik-suni-vajina-masturbator,Ultra Gerçekçi Otomatik Suni Vajina Mastürbatör,"erkeklere-ozel, suni-vajina-masturbatorler",erkek,
ultra-realistik-isitma-ileri-geri-ve-donme-fonksiyonlu-gercekci-vibrator,Ultra Realistik Isıtma İleri Geri ve Dönme Fonksiyonlu Gerçekçi Vibratör,"et-dokulu-urunler, sex-oyuncaklari",none,
ultra-yumusak-dokulu-titresimli-ve-rotasyonlu-realistik-vibrator-penis,Ultra Yumuşak Dokulu Titreşimli ve Rotasyonlu Realistik Vibratör Penis,"et-dokulu-urunler, sex-oyuncaklari",none,
victoria-doll-realistik-sisme-manken,VICTORIA DOLL Realistik Şişme Manken,"erkeklere-ozel, sisme-kadinlar",erkek,
viga-100000-geciktirici-sprey,Viga 100000 Geciktirici Sprey,geciktiriciler,none,
viga-150000-geciktirici-sprey,Viga 150000 Geciktirici Sprey,geciktiriciler,none,
viga-50000-geciktirici-krem,Viga 50000 Geciktirici Krem,geciktiriciler,none,
viga-50000-geciktirici-sprey,Viga 50000 Geciktirici Sprey,geciktiriciler,none,
waves-of-et-doku-vibrator-titresimli,Waves Of Et Doku Vibratör Titreşimli,"realistik-vibratorler, sex-oyuncaklari",none,
waves-of-pleasure-et-doku-vibrator,WAVES OF PLEASURE Et Doku Vibratör,"et-dokulu-urunler, sex-oyuncaklari",none,
yarim-vucut-mega-boy-ultra-realistik-manken,Yarım Vücut Mega Boy Ultra Realistik Manken,"et-dokulu-urunler, sex-oyuncaklari",none,
yarim-vucut-realistik-kadin-seks-mankeni-ultra-gercekci-dokulu-yetiskin-oyuncak,Yarım Vücut Realistik Kadın Seks Mankeni – Ultra Gerçekçi Dokulu Yetişkin Oyuncak,"erkeklere-ozel, suni-vajina-masturbatorler",erkek,
yarim-vucut-silikon-seksi-manken,Yarım Vücut Silikon Seksi Manken,"erkeklere-ozel, suni-vajina-masturbatorler",erkek,
yeni-nesil-cift-katmanli-realistik-vantuzlu-testissiz-melez-dildo-penis,Yeni Nesil Çift Katmanlı Realistik Vantuzlu Testissiz Melez Dildo Penis,"realistik-dildolar, sex-oyuncaklari",cift,
yumusak-dokulu-penis-kilifi,Yumuşak Dokulu Penis Kılıfı,"erkeklere-ozel, halka-kiliflar",erkek,
yumusak-dokulu-titresimli-ve-rotasyonlu-realistik-vibrator,Yumuşak Dokulu Titreşimli ve Rotasyonlu Realistik Vibratör,"belden-baglamalilar, sex-oyuncaklari",none,
